row_index,doc_id,title,president,date,snippet_norm,verse_range,verse_text,match_proba,judgement,reason,confidence
23,-2399084652146484060,Remarks on Signing the Hate Crime Statistics Act,George Bush,1990-04-23,water cascades over the vow made by dr king on the steps of the lincoln memorial we will not be satisfied until justice rolls down like waters and righteousness like a mighty stream his pledge is just as powerful today we will not be satisfied justice for all has been the historic mission of the civil rights movement and it's,Amos 5:24,"But let judgment run down as waters, and righteousness as a mighty stream.",0.9575262173116976,TRUE,,0.95
107,-2467444754880374033,Annual Message to the Congress on the State of the Union,Dwight D. Eisenhower,1955-01-06,government or of military power at issue is the true nature of man either man is the creature whom the psalmist described as a little lower than the angels crowned with glory and honor holding dominion over the works of his creator or man is a soulless animated machine to be enslaved used and consumed by the state for its own glorification it is therefore,Hebrews 2:7,"Thou madest him a little lower than the angels; thou crownedst him with glory and honour, and didst set him over the works of thy hands:",0.973762260984712,TRUE,,1.0
108,-2467444754880374033,Annual Message to the Congress on the State of the Union,Dwight D. Eisenhower,1955-01-06,government or of military power at issue is the true nature of man either man is the creature whom the psalmist described as a little lower than the angels crowned with glory and honor holding dominion over the works of his creator or man is a soulless animated machine to be enslaved used and consumed by the state for its,Psalms 8:5,"For thou hast made him a little lower than the angels, and hast crowned him with glory and honour.",0.8775132771023625,TRUE,,1.0
117,-24715439595225349,Remarks at the National Prayer Breakfast,Donald J. Trump (1st Term),2017-02-02,our nation he gave his life in defense of our people our debt to him and our debt to his family is eternal and everlasting greater love hath no man than this that a man lay down his life for his friends we will never forget the men and women who wear the uniform believe me applause thank you from generation to generation their vigilance,John 15:13,"Greater love hath no man than this, that a man lay down his life for his friends.",0.9587393438527052,TRUE,,1.0
134,-2476930348235128909,Remarks in Baltimore at the Celebration of the Bicentennial of American Methodism.,Lyndon B. Johnson,1966-04-22,we the strongest the most powerful the richest nation on earth have learned from the book of proverbs that by wisdom a house is built by understanding it is established by knowledge the rooms are filled with all precious and pleasant riches a wise man is mightier than a strong man and a man of,Proverbs 24:3,Through wisdom is an house builded; and by understanding it is established:,0.8608522598821714,TRUE,,0.9
135,-2476930348235128909,Remarks in Baltimore at the Celebration of the Bicentennial of American Methodism.,Lyndon B. Johnson,1966-04-22,earth have learned from the book of proverbs that by wisdom a house is built by understanding it is established by knowledge the rooms are filled with all precious and pleasant riches a wise man is mightier than a strong man and a man of knowledge than he who has strength your methodist creed opposed,Proverbs 24:4,And by knowledge shall the chambers be filled with all precious and pleasant riches.,0.95120395423829,TRUE,,0.95
138,-2476930348235128909,Remarks in Baltimore at the Celebration of the Bicentennial of American Methodism.,Lyndon B. Johnson,1966-04-22,book of proverbs that by wisdom a house is built by understanding it is established by knowledge the rooms are filled with all precious and pleasant riches a wise man is mightier than a strong man and a man of knowledge than he who has strength your methodist creed opposed every form of social economic and moral waste and there is no more tragic and,Proverbs 24:5,"A wise man is strong; yea, a man of knowledge increaseth strength.",0.6357392616504226,TRUE,,0.9
139,-2476930348235128909,Remarks in Baltimore at the Celebration of the Bicentennial of American Methodism.,Lyndon B. Johnson,1966-04-22,9 million american families though at the bottom of the heap for we have heard the call of isaiah to seek justice correct oppression defend the fatherless plead for the widow of all that we do as a people for social justice in america nothing is so powerful a force for good as a strong,Isaiah 1:17,"Learn to do well; seek judgment, relieve the oppressed, judge the fatherless, plead for the widow.",0.9374742631049916,TRUE,,0.95
191,-2510360674089467068,"Remarks to the National Governors' Association-Department of Education Conference in Columbia, Missouri",Ronald Reagan,1987-03-26,as simple as the ten commandments and as enduring as the scriptures and here are some samples love thy neighbor as thyself honor thy father and thy mother and yes thou shalt not steal i've dwelt on values for a reason part of it is that standards of right and wrong are essential to any,Matthew 19:19,"Honour thy father and thy mother: and, Thou shalt love thy neighbour as thyself.",0.9783418088164246,TRUE,,0.95
199,-251528283133825996,Remarks at the Annual Ambassadors Ball To Benefit the Multiple Sclerosis Society,Ronald Reagan,1981-09-29,people forget that the religious convictions of our forefathers went a little beyond puritanism the bible talks of faith hope and charity and the greatest of these is charity americans took this admonition seriously just as they did the parable of the good samaritan if you remember the samaritan walking along on the other side,1 Corinthians 13:13,"And now abideth faith, hope, charity, these three; but the greatest of these is charity.",0.9890400692596952,TRUE,,1.0
